Date,current_price,portfolio_pnl,position,postion_pnl,capital,holding,action,portfolio_value,sortino,mean3,mean5,mean10,mean20,mean50,std3,std5,std10,std20,std50,sortino_delta,returns,benchmark
2009-12-31,21.4474,-11.65,24986.221,-0.0,2.129,1165.0,1.0,24988.35,1.0,,,,,,,,,,,0.0,0.999534,1.0
2010-01-04,22.1683,826.6985,25826.0695,839.8485,0.629,1165.0,1.0,25826.6985,1.0,,,,,,,,,,,-1.0,1.03306794,1.03361246585
2010-01-05,22.72,1467.929,26468.8,1482.579,-0.871,1165.0,1.0,26467.929,,22.1119,,,,,0.6382,,,,,-1.0,1.05871716,1.05933586355
2010-01-06,22.9692,1756.747,26759.118,1772.897,-2.371,1165.0,1.0,26756.747,,22.6192,,,,,0.4099,,,,,,1.07026988,1.07095498755
2010-01-07,22.7378,1485.666,26489.537,1503.316,-3.871,1165.0,1.0,26485.666,,22.809,22.4086,,,,0.139,0.6126,,,,,1.05942664,1.06016580098
2010-01-08,22.8891,1660.4305,26665.8015,1679.5805,-5.371,1165.0,1.0,26660.4305,-245.238,22.8654,22.6969,,,,0.1175,0.3134,,,,,1.06641722,1.06722026912
2010-01-11,23.1027,1907.7745,26914.6455,1928.4245,-6.871,1165.0,1.0,26907.7745,-305.867,22.9099,22.8838,,,,0.1833,0.1608,,,,245.238,1.07631098,1.07717951826
2010-01-12,22.4709,1170.2275,26178.5985,1192.3775,-8.371,1165.0,1.0,26170.2275,-366.7435,22.8209,22.834,,,,0.3214,0.2422,,,,305.867,1.0468091,1.04772140213
2010-01-13,22.4976,1199.833,26209.704,1223.483,-9.871,1165.0,1.0,26199.833,-0.0455,22.6904,22.7396,,,,0.3573,0.2669,,,,366.7435,1.04799332,1.04896630827
2010-01-14,22.6311,1353.8605,26365.2315,1379.0105,-11.371,1165.0,1.0,26353.8605,-0.0519,22.5332,22.7183,22.5634,,,0.0858,0.2713,0.4756,,,0.0455,1.05415442,1.05519083898
2010-01-15,22.2662,927.252,25940.123,953.902,-12.871,1165.0,1.0,25927.252,-0.0584,22.4649,22.5937,22.6453,,,0.1846,0.3131,0.3003,,,0.0519,1.03709008,1.0381771217
2010-01-19,22.4442,1133.122,26147.493,1161.272,-14.371,1165.0,1.0,26133.122,-0.0778,22.4471,22.462,22.6729,,,0.1825,0.1309,0.2618,,,0.0584,1.04532488,1.04647649599
2010-01-20,21.7945,374.7215,25390.5925,404.3715,-15.871,1165.0,1.0,25374.7215,-0.0856,22.1683,22.3267,22.5803,,,0.3357,0.325,0.3801,,,0.0778,1.01498886,1.01618377985
2010-01-21,20.9402,-632.188,0.0,0.0,24367.812,0.0,2.0,24367.812,-0.0871,21.7263,22.0152,22.3774,,,0.7543,0.6765,0.6171,,,0.0856,0.97471248,0.976351445863
2010-01-22,20.4596,-632.188,0.0,0.0,24367.812,0.0,0.0,24367.812,-0.1135,21.0648,21.5809,22.1496,,,0.6761,0.8556,0.847,,,0.0871,0.97471248,0.953943135298
2010-01-25,20.6287,-632.188,0.0,0.0,24367.812,0.0,0.0,24367.812,2.0344,20.6762,21.2534,21.9235,,,0.2438,0.841,0.9257,,,0.1135,0.97471248,0.961827540867
2010-01-26,20.157,-633.688,0.0,0.0,24366.312,0.0,2.0,24366.312,1.2786,20.4151,20.796,21.629,,,0.239,0.6259,0.9761,,,-2.0344,0.97465248,0.939834199017
2010-01-27,20.068,-633.688,0.0,0.0,24366.312,0.0,0.0,24366.312,2.6188,20.2846,20.4507,21.3887,,,0.3013,0.355,1.0395,,,-1.2786,0.97465248,0.935684511876
2010-01-28,19.9256,-635.188,0.0,0.0,24364.812,0.0,2.0,24364.812,2.9269,20.0502,20.2478,21.1315,,,0.1167,0.2891,1.0527,,,-2.6188,0.97459248,0.929045012449
2010-01-29,19.6854,-635.188,0.0,0.0,24364.812,0.0,0.0,24364.812,3.1667,19.893,20.093,20.8369,21.7002,,0.1934,0.3485,0.9972,1.1673,,-2.9269,0.97459248,0.917845519737
2010-02-01,20.2015,-636.688,0.0,0.0,24363.312,0.0,2.0,24363.312,3.9376,19.9375,20.0075,20.6305,21.6379,,0.2583,0.2087,0.8746,1.2138,,-3.1667,0.97453248,0.941909042588
2010-02-02,20.5041,-636.688,0.0,0.0,24363.312,0.0,0.0,24363.312,2.2246,20.1303,20.0769,20.4365,21.5547,,0.414,0.3059,0.5995,1.2324,,-3.9376,0.97453248,0.956017978869
2010-02-03,20.6376,-638.188,0.0,0.0,24361.812,0.0,2.0,24361.812,1.2757,20.4477,20.1908,20.3208,21.4506,,0.2234,0.3949,0.3795,1.2167,,-2.2246,0.97447248,0.962242509582
2010-02-04,19.6409,-638.188,0.0,0.0,24361.812,0.0,0.0,24361.812,0.8518,20.2609,20.1339,20.1908,21.2841,,0.5411,0.4581,0.3661,1.2256,,-1.2757,0.97447248,0.915770676166
2010-02-05,19.5341,-631.1239,24359.0227,19.5341,9.8534,1247.0,1.0,24368.8761,3.9727,19.9375,20.1036,20.0983,21.1239,,0.6086,0.4984,0.4055,1.2349,,-0.8518,0.974755044,0.910791051596
2010-02-08,19.454,-743.4786,0.0,0.0,24256.5214,0.0,2.0,24256.5214,4.3261,19.543,19.9541,19.9808,20.9522,,0.0938,0.5688,0.4049,1.2152,,-3.9727,0.970260856,0.907056333169
2010-02-09,19.8456,-744.9786,0.0,0.0,24255.0214,0.0,2.0,24255.0214,4.4124,19.6112,19.8224,19.9497,20.7893,,0.2069,0.4788,0.4018,1.1269,,-4.3261,0.970200856,0.925314956591
2010-02-10,20.0502,-746.4786,0.0,0.0,24253.5214,0.0,2.0,24253.5214,3.177,19.7833,19.7049,19.9479,20.6683,,0.303,0.2425,0.4013,1.0651,,-4.4124,0.970140856,0.934854574447
2010-02-11,20.5753,-747.9786,0.0,0.0,24252.0214,0.0,2.0,24252.0214,2.5416,20.157,19.8918,20.0129,20.5722,,0.3764,0.4511,0.4472,0.9742,,-3.177,0.970080856,0.959337728582
2010-02-12,20.3528,-739.5358,24240.1848,20.3528,20.2794,1191.0,1.0,24260.4642,0.8098,20.3261,20.0556,20.0796,20.4583,,0.2635,0.4372,0.4427,0.8455,,-2.5416,0.970418568,0.948963510729
2010-02-16,20.8156,-200.251,0.0,0.0,24799.749,0.0,2.0,24799.749,1.5846,20.5812,20.3279,20.141,20.3857,,0.2314,0.3903,0.5003,0.7375,,-0.8098,0.99198996,0.970541883865
2010-02-17,20.8245,-200.251,0.0,0.0,24799.749,0.0,0.0,24799.749,1.5848,20.6643,20.5237,20.173,20.3048,,0.2698,0.3285,0.5352,0.5694,,-1.5846,0.99198996,0.970956852579
2010-02-18,20.9402,-191.1508,24793.1968,20.9402,15.6524,1184.0,1.0,24808.8492,1.5548,20.8601,20.7017,20.2033,20.262,,0.0695,0.2359,0.5717,0.4761,,-1.5848,0.992353968,0.976351445863
2010-02-19,20.6198,-572.0044,24413.8432,-358.4134,14.1524,1184.0,1.0,24427.9956,1.191,20.7948,20.7106,20.3012,20.246,,0.1622,0.2307,0.548,0.4571,,-1.5548,0.977119824,0.961412572153
